# Generation	Best_cost	Average_cost_best	Stdev_cost_best
0	34.8637	34.9085	0.0100118
20	18.4548	18.4548	3.63632e-15
40	12.573	12.573	3.63632e-15
60	12.0612	12.0612	3.63632e-15
80	12.0055	12.0055	3.63632e-15
100	9.45629	9.45629	5.45448e-15
120	7.95979	7.95979	3.63632e-15
140	7.44362	7.44362	3.63632e-15
160	7.44362	7.44362	3.63632e-15
180	7.44362	7.44362	3.63632e-15
200	7.44362	7.44362	3.63632e-15
220	7.44362	7.44362	3.63632e-15
240	7.44362	7.44362	3.63632e-15
260	7.44362	7.44362	3.63632e-15
280	7.44362	7.44362	3.63632e-15
300	7.44362	7.44362	3.63632e-15
320	7.44362	7.44362	3.63632e-15
340	7.44362	7.44362	3.63632e-15
360	7.44362	7.44362	3.63632e-15
380	7.44362	7.44362	3.63632e-15
400	6.24306	6.24306	1.81816e-15
420	6.24306	6.24306	1.81816e-15
440	6.24306	6.24306	1.81816e-15
460	6.24306	6.24306	1.81816e-15
480	6.24306	6.24306	1.81816e-15
500	6.24306	6.40403	0.379401
520	6.24306	6.24306	1.81816e-15
540	6.24306	6.24306	1.81816e-15
560	6.24306	6.24306	1.81816e-15
580	6.24306	6.24306	1.81816e-15
600	6.24306	6.24306	1.81816e-15
620	6.24306	6.24306	1.81816e-15
640	6.24306	6.24306	1.81816e-15
660	6.24306	6.24306	1.81816e-15
680	6.24306	6.24306	1.81816e-15
700	6.24306	6.24306	1.81816e-15
720	6.24306	6.24306	1.81816e-15
740	6.24306	6.24306	1.81816e-15
760	6.24306	6.24306	1.81816e-15
780	6.24306	6.24306	1.81816e-15
800	6.24306	6.24306	1.81816e-15
820	6.24306	6.24306	1.81816e-15
840	6.24306	6.24306	1.81816e-15
860	6.24306	6.24306	1.81816e-15
880	6.24306	6.24306	1.81816e-15
900	6.24306	6.24306	1.81816e-15
920	6.24306	6.24306	1.81816e-15
940	6.24306	6.24306	1.81816e-15
960	6.24306	6.24306	1.81816e-15
980	6.24306	6.24306	1.81816e-15
