# Generation	Best_cost	Average_cost_best	Stdev_cost_best
0	34.4542	37.0849	1.16004
20	25.9641	25.9641	3.83737e-15
40	24.2941	24.5773	0.124867
60	17.3993	17.3993	0
80	15.1466	15.1924	0.121209
100	14.058	14.1755	0.310853
120	12.4971	12.5007	0.00958257
140	12.2872	12.2872	1.91868e-15
160	12.2862	12.2862	0
180	11.8905	11.8905	1.91868e-15
200	11.4562	11.4562	1.91868e-15
220	11.4562	11.8583	0.770671
240	9.92899	9.92899	1.91868e-15
260	9.92899	10.1775	0.432872
280	8.34539	8.34539	0
300	6.69684	6.74461	0.0210632
320	6.69684	6.69684	9.59342e-16
340	6.69684	6.69684	9.59342e-16
360	6.69684	6.69684	9.59342e-16
380	6.69684	6.69684	9.59342e-16
400	6.69684	6.69684	9.59342e-16
420	6.69684	6.69684	9.59342e-16
440	6.69684	6.69684	9.59342e-16
460	6.69684	6.69684	9.59342e-16
480	6.69684	6.69684	9.59342e-16
500	6.69684	6.69684	9.59342e-16
520	6.69684	6.69684	9.59342e-16
540	6.69684	6.69684	9.59342e-16
560	6.24306	6.24306	9.59342e-16
580	6.24306	6.26834	0.066885
600	6.24306	6.24306	9.59342e-16
620	6.24306	6.31073	0.179058
640	6.24306	6.24306	9.59342e-16
660	6.24306	6.24306	9.59342e-16
680	6.24306	6.24306	9.59342e-16
700	6.24306	6.24306	9.59342e-16
720	6.24306	6.45427	0.558811
740	6.24306	6.24306	9.59342e-16
760	6.24306	6.51284	0.504858
780	6.24306	6.24306	9.59342e-16
800	6.24306	6.24306	9.59342e-16
820	6.24306	6.24306	9.59342e-16
840	6.24306	6.24306	9.59342e-16
860	6.24306	6.24306	9.59342e-16
880	6.24306	6.24306	9.59342e-16
900	6.24306	6.5503	0.547998
920	6.24306	6.24306	9.59342e-16
940	6.24306	6.24306	9.59342e-16
960	6.24306	6.24306	9.59342e-16
980	6.24306	6.24306	9.59342e-16
