# Generation	Best_cost	Average_cost_best	Stdev_cost_best
0	14.152	15.292	0.239623
20	8.97127	8.97127	5.38317e-15
40	6.92307	6.92307	1.79439e-15
60	6.74982	6.74982	5.38317e-15
80	6.54444	6.54444	7.17757e-15
100	5.65409	5.65409	0
120	5.3154	5.3154	3.58878e-15
140	5.2426	5.2426	7.17757e-15
160	5.20496	5.20496	5.38317e-15
180	4.99658	4.99658	8.97196e-16
200	4.99658	4.99658	8.97196e-16
220	4.99658	4.99658	8.97196e-16
240	4.99658	4.99658	8.97196e-16
260	4.99658	4.99658	8.97196e-16
280	4.99658	4.99658	0
300	4.99658	4.99658	0
320	4.99658	4.99658	0
340	4.99658	4.99658	0
360	4.99658	4.99658	0
380	4.99658	4.99658	0
400	4.99658	4.99658	0
