# Generation	Best_cost	Average_cost_best	Stdev_cost_best
0	7876.86	7884.95	29.1631
20	7876.86	8029	337.385
40	7876.86	7876.86	2.78046e-12
60	7876.86	7886.06	35.2639
80	7876.81	7885.08	29.7936
100	7876.81	7900.4	80.1973
120	7876.81	7876.81	1.85364e-12
140	7876.81	7876.81	1.85364e-12
160	7869.06	7984.86	223.272
180	7869.06	7899.99	89.7445
200	7856.7	8050.58	298.355
220	7845.62	7894.26	109.449
240	7845.62	7864.48	68.362
260	7845.62	7862.33	48.6338
280	7845.62	7874.6	87.7782
300	7845.62	7845.62	3.70728e-12
320	7845.62	7870.06	50.1385
340	7845.62	7845.62	3.70728e-12
360	7834.44	7994.22	263.399
380	7834.44	7835.94	7.8052
400	7834.44	8081.56	322.82
420	7834.44	7931.12	176.449
440	7834.44	7834.44	4.6341e-12
460	7819.07	7888.61	137.416
480	7819.07	7911.64	177.155
500	7819.07	7819.07	2.78046e-12
520	7819.07	7951.09	205.782
540	7780.17	7902.76	197.987
560	7780.17	7838.25	128.313
580	7780.17	7780.17	2.78046e-12
600	7780.17	7780.17	2.78046e-12
620	7780.17	7858.2	159.213
640	7748.63	7834.61	170.687
660	7742.95	7810.6	133.097
680	7742.95	7745.38	12.6003
700	7742.95	7742.95	1.85364e-12
720	7742.95	7772.14	84.3681
740	7742.95	7807.07	149.804
760	7742.95	7742.95	1.85364e-12
780	7742.95	7742.95	1.85364e-12
800	7742.95	7745.23	11.8429
820	7664.36	7668.93	23.7367
840	7664.36	7731.41	139.334
860	7664.36	7789.57	249.241
880	7664.36	7722.27	128.64
900	7664.36	7664.36	2.78046e-12
920	7664.36	7672.88	32.1263
940	7664.36	7677.81	69.8749
960	7664.36	7664.36	2.78046e-12
980	7664.36	7689.49	64.558
