y uniforme	x esponenziale	x Cauchy_Lorenz	x gaussiana
 	 	 	 
0.122649	0.163561	0.0268888	0.448159
0.729649	1.63504	0.695933	1.41162
0.477115	0.810491	0.505596	-0.496707
0.705029	1.5261	0.670193	0.80393
0.656019	1.33396	0.626715	-0.817492
0.371496	0.580517	0.434566	-0.824677
0.776048	1.8704	0.755737	0.229079
0.168325	0.230391	0.17772	-0.266897
0.279233	0.409299	0.353732	-0.229958
0.0173017	0.0218164	-3.1559	-0.0932588
0.0646429	0.0835336	-0.45125	-0.365431
0.233157	0.331841	0.29763	0.682896
0.493226	0.849613	0.515743	-1.16508
0.479138	0.815337	0.506873	0.041186
0.257893	0.372828	0.329681	0.770595
0.471797	0.797842	0.502233	-0.57463
0.616809	1.19903	0.596876	-0.670836
0.0839539	0.109611	-0.220632	0.35254
0.931865	3.35784	1.44004	-2.31712
0.501858	0.871087	0.521167	0.179434
0.686006	1.44798	0.652282	1.1138
0.651955	1.31928	0.623457	1.41556
0.67838	1.41798	0.645501	0.871621
0.12096	0.161156	0.0192741	-0.459647
0.577269	1.07627	0.569526	-1.10796
0.0527608	0.0677546	-0.675544	0.0948195
0.765764	1.81428	0.74086	-0.316448
0.22611	0.320407	0.287477	-0.0242416
0.918855	3.1394	1.28748	-0.826677
0.813285	2.09772	0.820926	0.206098
0.133804	0.179555	0.0725738	0.176735
0.713423	1.56218	0.67861	1.02129
0.985475	5.28987	4.89994	1.72445
0.272751	0.398109	0.346726	0.798077
0.53815	0.965645	0.544086	1.21765
0.48153	0.82109	0.508382	0.0423741
0.214718	0.302141	0.269906	0.0778559
0.114256	0.151659	-0.0130515	-0.147865
0.259028	0.374741	0.331035	0.598106
0.902262	2.90683	1.15075	1.62566
0.239596	0.342382	0.306479	-0.64474
0.74877	1.72673	0.718461	-1.27479
0.201218	0.280834	0.246928	0.563929
0.674932	1.40465	0.642501	0.588607
0.399912	0.638348	0.454955	0.895052
0.98646	5.3776	5.21881	2.44426
0.436887	0.717844	0.479817	0.192186
0.845767	2.33661	0.899944	-0.320025
0.576023	1.07259	0.568696	-1.04162
0.701668	1.51193	0.666915	-1.26936
0.279945	0.410534	0.354487	-0.314677
0.95178	3.78997	1.83012	-1.11502
0.881923	2.67053	1.0342	2.00078
0.781925	1.90364	0.764757	0.122102
0.830226	2.21661	0.858731	-1.44234
0.738611	1.67718	0.706177	1.29296
0.260434	0.377114	0.332699	-0.608648
0.547801	0.99204	0.550262	0.662403
0.587904	1.10812	0.57668	-0.933386
0.704587	1.52423	0.669759	-0.527547
0.341636	0.522496	0.411384	-0.912507
0.0394158	0.0502671	-1.08687	-0.184601
0.213132	0.299618	0.267334	0.0161555
0.838501	2.27907	0.879776	-0.0922161
0.0565693	0.0727904	-0.593508	0.160293
0.08691	0.113651	-0.194211	-0.192591
0.793058	1.96914	0.783017	1.12187
0.346334	0.531448	0.415176	-0.839106
0.441541	0.728218	0.482851	-0.418505
0.916148	3.09838	1.26158	0.676828
0.077921	0.101406	-0.280621	0.399768
0.902376	2.90829	1.15154	-1.93344
0.82428	2.17358	0.844719	-1.48163
0.187432	0.259445	0.22054	0.643316
0.0600852	0.0774575	-0.526915	0.259391
0.0129601	0.016306	-4.38944	0.111878
0.151512	0.205375	0.132046	-0.0804105
0.823965	2.17134	0.844001	-1.85666
0.994451	6.49261	11.991	-2.02665
0.446211	0.738714	0.485878	-1.06989
0.598408	1.1404	0.58388	1.35073
0.758309	1.77512	0.730724	0.527062
0.495809	0.856001	0.517367	-0.760115
0.359	0.555908	0.425119	0.756447
0.793687	1.97295	0.784099	1.74126
0.809048	2.06967	0.812406	-0.723155
0.698306	1.49793	0.663689	-0.922936
0.742493	1.69588	0.710782	-1.31076
6.50839e-05	8.13575e-05	-977.633	-0.00949712
0.296364	0.439367	0.371171	-0.704913
0.624291	1.22367	0.602321	-1.0261
0.110417	0.146253	-0.0332463	-0.448442
0.408033	0.655381	0.460552	-0.348177
0.714217	1.56565	0.679424	-1.1722
0.884437	2.69743	1.04647	1.92846
0.969434	4.35985	2.59639	2.6409
0.331877	0.504104	0.403307	-0.699513
0.798294	2.00118	0.792197	-0.549336
0.618143	1.20339	0.597839	1.12105
0.538703	0.967142	0.544438	1.20677
0.540154	0.971079	0.545364	0.878323
0.662891	1.35919	0.632328	1.26831
0.182797	0.252335	0.210889	0.0342091
0.425977	0.693857	0.472633	0.238829
0.20874	0.292661	0.260044	0.139223
0.326359	0.493823	0.398612	0.855067
0.512642	0.898447	0.527948	0.229275
0.520307	0.918261	0.532777	-0.732492
0.0528965	0.0679336	-0.67242	-0.137979
0.903759	2.92613	1.16121	0.464574
0.292556	0.432621	0.36742	-0.464179
0.226655	0.321287	0.28828	0.628736
0.0756727	0.0983614	-0.305371	0.267704
0.016809	0.0211899	-3.26385	0.0905602
0.129179	0.172898	0.0545361	-0.448571
0.345451	0.529762	0.414468	0.877774
0.063329	0.081779	-0.471958	0.0510688
0.55524	1.01278	0.555061	0.185922
0.75144	1.74009	0.721818	0.0285442
0.390382	0.618653	0.448266	-0.199096
0.464306	0.780241	0.497479	1.06899
0.82013	2.1444	0.835434	1.02506
0.934629	3.40959	1.48012	1.65662
0.9404	3.52513	1.57565	-1.07669
0.606644	1.1663	0.589631	-1.30934
0.288776	0.42596	0.363629	-0.493279
0.316772	0.476158	0.390212	0.0404667
0.737219	1.67054	0.704551	1.61236
0.339593	0.518624	0.409716	0.0190616
0.762162	1.79521	0.735898	-0.185257
0.563199	1.03535	0.560239	1.2
0.667245	1.37544	0.635955	1.39628
0.128552	0.171999	0.0519969	-0.49571
0.49004	0.841778	0.51374	-0.291322
0.434761	0.713133	0.478425	-0.908653
0.507188	0.884534	0.524517	-1.16227
0.38828	0.61435	0.446772	0.625707
0.0151544	0.0190879	-3.67773	0.136122
0.227309	0.322345	0.289241	0.241055
0.365263	0.568182	0.429896	0.757868
0.407734	0.65475	0.460348	0.565337
0.937103	3.45782	1.51895	-1.98997
0.774618	1.86245	0.753602	-1.45739
0.115197	0.152987	-0.00829756	0.470611
0.600722	1.14762	0.585486	0.871435
0.567818	1.04863	0.563268	0.90444
0.744077	1.7036	0.712691	-1.08838
0.797921	1.99887	0.791528	-0.52267
0.0099059	0.0124441	-5.9046	0.119613
0.53464	0.956179	0.541851	1.23032
0.304051	0.453098	0.378545	-0.461224
0.956131	3.90817	1.96197	-2.17997
0.997593	7.53665	26.9667	1.36242
0.783439	1.91236	0.767148	-0.716308
0.403962	0.646813	0.457757	0.656788
0.169572	0.232267	0.180778	0.521368
0.875059	2.5999	1.0031	1.89803
0.143219	0.193217	0.105902	-0.541402
0.8827	2.67878	1.03794	-2.04771
0.674181	1.40177	0.641853	0.40723
0.853052	2.3971	0.922005	-0.965301
0.635123	1.26024	0.610397	1.26923
0.40814	0.655607	0.460625	0.317588
0.875931	2.60864	1.00686	-1.76572
0.139451	0.187731	0.0930679	0.118629
0.0427567	0.0546221	-0.95997	-0.0630752
0.85009	2.37215	0.912796	-1.5186
0.810467	2.07899	0.815223	1.81486
0.265938	0.386452	0.339089	0.786295
0.907214	2.97182	1.18657	-1.21146
0.101164	0.133318	-0.0879626	0.454636
0.152361	0.206626	0.134573	0.533984
0.793889	1.97418	0.784448	-0.814498
0.069179	0.0896103	-0.385716	-0.334262
0.584638	1.09826	0.574469	-0.774303
0.24302	0.348023	0.311031	-0.234127
0.430544	0.703842	0.475653	-0.763341
0.151972	0.206052	0.133418	-0.442771
0.725472	1.61588	0.69133	-0.149548
0.784065	1.91597	0.768143	-1.40494
0.27989	0.410439	0.354429	-0.382957
0.963373	4.13372	2.25045	-0.793531
0.510307	0.89247	0.526478	0.752284
0.333182	0.506547	0.404403	-0.840102
0.458542	0.766863	0.493803	-0.904957
0.690562	1.46625	0.656436	-0.0972081
0.924314	3.22646	1.34523	-0.911576
0.542215	0.976694	0.546681	0.831845
0.625262	1.22691	0.603035	-1.24264
0.971477	4.44632	2.74601	-1.37021
0.527443	0.936996	0.537286	-0.370415
0.192492	0.267253	0.230609	-0.308827
0.10362	0.136739	-0.07252	-0.463059
0.447408	0.741418	0.486651	0.623311
0.71965	1.58965	0.685085	0.801296
0.510107	0.89196	0.526353	0.802194
0.220677	0.311663	0.279287	-0.349888
0.235575	0.335788	0.300998	0.699644
0.344377	0.527712	0.413604	0.649284
0.984122	5.17854	4.52616	-0.254396
0.240384	0.343679	0.307537	-0.724888
0.906995	2.96887	1.18491	1.99171
0.191588	0.265855	0.228845	0.370457
0.963389	4.13426	2.2512	-1.98553
0.838807	2.28144	0.880591	-0.747437
0.0138574	0.0174429	-4.07117	0.133462
0.686339	1.4493	0.652583	0.516377
0.672912	1.39691	0.640763	1.21898
0.449103	0.74526	0.487745	0.488218
0.982161	5.03298	4.08501	2.12222
0.585922	1.10213	0.575337	-0.0262764
0.968427	4.31933	2.52974	-0.179123
0.99756	7.51977	26.612	0.404888
0.269321	0.392227	0.342917	0.524185
0.85826	2.44221	0.939062	0.967719
0.138084	0.185747	0.0882515	0.0969755
0.557847	1.02012	0.556752	0.970642
0.0829585	0.108253	-0.229942	0.28908
0.0763337	0.0992556	-0.297946	-0.262123
0.362877	0.56349	0.428086	-0.948669
0.26901	0.391695	0.342568	0.787744
0.666051	1.37096	0.634955	-0.90975
0.638015	1.27019	0.612594	1.42505
0.0626834	0.0809177	-0.482449	-0.355472
0.493584	0.850497	0.515968	0.0100867
0.17513	0.240662	0.193929	-0.530861
0.907819	2.98	1.19121	2.04361
0.282516	0.415006	0.357191	0.156158
0.63556	1.26174	0.610727	0.894931
0.512163	0.897217	0.527646	1.12339
0.976671	4.6976	3.24404	-2.62238
0.513823	0.901477	0.528691	-0.692874
0.293807	0.434833	0.36866	0.699665
0.11728	0.155935	0.00196952	-0.446816
0.147904	0.20007	0.121005	0.315314
0.898408	2.85849	1.12522	-1.06868
0.494909	0.853772	0.516801	-0.739901
0.688462	1.45779	0.654511	1.13448
0.482314	0.822983	0.508876	1.1407
0.627778	1.23533	0.604895	-0.847835
0.630232	1.2436	0.606721	-0.0388905
0.0657914	0.0850694	-0.433815	-0.321424
0.772209	1.84916	0.750054	0.587421
0.528452	0.939667	0.537924	-1.21737
0.415391	0.671015	0.46555	-0.355103
0.101884	0.13432	-0.0833626	0.00987346
0.163992	0.223896	0.166767	-0.471339
0.314009	0.471113	0.387731	-0.227415
0.696163	1.48908	0.661656	-0.682739
0.236551	0.337386	0.302343	0.724672
0.310928	0.465512	0.384931	0.609938
0.787386	1.93535	0.773513	-1.15045
0.243234	0.348377	0.311312	0.610769
0.702778	1.5166	0.667993	-0.431983
0.412367	0.664566	0.463504	0.0797426
0.392162	0.622309	0.449527	-0.900821
0.809043	2.06963	0.812396	-1.22484
0.812555	2.09284	0.819433	-1.07764
0.782783	1.90857	0.766108	1.48117
0.939308	3.50244	1.5562	2.36177
0.663318	1.36077	0.632681	-1.15997
0.605093	1.16138	0.588541	0.328382
0.693617	1.47865	0.659269	-1.49132
0.0761195	0.0989657	-0.300339	-0.387206
0.579802	1.08379	0.571218	-1.0396
0.286446	0.421872	0.361256	0.796477
0.143016	0.192921	0.105227	0.199599
0.116767	0.155208	-0.000527617	-0.120425
0.814981	2.10912	0.824431	-1.00175
0.348534	0.535662	0.416932	0.547192
0.933158	3.38178	1.45838	2.27969
0.219155	0.309224	0.276931	0.630228
0.000519626	0.000649701	-121.995	0.0018593
0.0270522	0.034281	-1.82764	0.115279
0.971983	4.4687	2.78642	-2.60013
0.570499	1.05641	0.565035	0.311682
0.0644457	0.0832701	-0.454304	-0.115975
0.841746	2.30444	0.888572	0.636786
0.0657457	0.0850082	-0.434498	-0.0578122
0.234265	0.33365	0.299181	-0.572149
0.302	0.449421	0.376603	-0.302065
0.358985	0.555877	0.425107	-0.766409
0.630908	1.24589	0.607226	0.646698
0.613867	1.18947	0.594762	0.53178
0.535423	0.958284	0.542349	0.635895
0.0255961	0.0324117	-1.96182	0.0707367
0.728528	1.62987	0.694686	-1.19378
0.103727	0.136888	-0.0718636	-0.443765
0.932798	3.37506	1.4532	1.57968
0.944363	3.61114	1.65257	0.0857827
0.611366	1.1814	0.592976	1.3364
0.426059	0.694037	0.472688	0.620366
0.499454	0.86507	0.519657	0.834824
0.795605	1.98463	0.787432	1.70477
0.573597	1.06546	0.567084	-0.194859
0.391959	0.621891	0.449383	-0.977151
0.511267	0.894923	0.527082	-0.108285
0.755724	1.76182	0.727326	-1.60611
0.305053	0.4549	0.379487	-0.833875
0.378119	0.593758	0.439444	-0.796133
0.227562	0.322755	0.289611	-0.0371777
0.222599	0.314749	0.282222	-0.622369
0.176616	0.242915	0.197318	-0.20137
0.675733	1.40773	0.643194	1.48555
0.102202	0.134762	-0.0813521	0.0403795
0.429182	0.700856	0.474755	1.05311
0.920404	3.16349	1.30307	-2.24626
0.0458637	0.0586859	-0.85845	0.25571
0.404764	0.648497	0.45831	-0.921325
0.610643	1.17907	0.592461	-0.390631
0.018075	0.0228004	-2.99832	0.18675
0.305815	0.456272	0.380202	0.753985
0.669617	1.38438	0.637955	1.22058
0.286895	0.422659	0.361716	-0.245743
0.77263	1.85147	0.75067	-1.71635
0.573755	1.06593	0.567189	0.939612
0.709016	1.54311	0.674148	0.0234109
0.431311	0.705526	0.476159	-0.58419
0.513741	0.901268	0.528639	0.0606774
0.914085	3.06799	1.2429	1.58743
0.057243	0.0736834	-0.58012	0.24728
0.817917	2.12912	0.830638	1.51157
0.673723	1.40001	0.641459	0.80961
0.553785	1.00869	0.554119	-1.03133
0.656145	1.33442	0.626817	1.29801
0.673372	1.39867	0.641158	-1.47008
0.570868	1.05749	0.565278	0.586432
0.580197	1.08496	0.571483	-1.01806
0.348291	0.535196	0.416739	-0.914743
0.906471	2.96185	1.18096	-1.06704
0.649006	1.30873	0.621119	-1.31253
0.0834361	0.108904	-0.225447	-0.172767
0.31234	0.468076	0.386219	-0.660468
0.646935	1.30138	0.619491	-1.35065
0.646719	1.30061	0.619322	-0.367244
0.0718629	0.0932198	-0.350778	-0.353057
0.956054	3.90598	1.95942	-1.7073
0.596733	1.1352	0.582722	0.127662
0.706779	1.53354	0.67192	1.1513
0.166787	0.228082	0.173891	0.59525
0.975756	4.64947	3.14079	2.66716
0.781127	1.89908	0.763508	-1.09796
0.78598	1.92711	0.771222	-1.75595
0.0727898	0.0944687	-0.339302	0.167758
0.296905	0.440329	0.371699	-0.274482
0.683175	1.43676	0.64974	-1.51539
0.887631	2.73246	1.06281	1.7424
0.122812	0.163793	0.0276131	-0.366412
0.428794	0.700007	0.474498	0.138168
0.45436	0.757246	0.491126	-0.371911
0.613612	1.18864	0.594578	0.127112
0.812363	2.09156	0.819042	1.15929
0.397258	0.632832	0.453106	-0.86509
0.915526	3.08914	1.25585	1.71949
0.319974	0.482031	0.393053	0.547979
0.164956	0.225339	0.169251	0.122643
0.86263	2.48134	0.954298	1.51167
0.396267	0.630778	0.452413	1.00255
0.759708	1.78237	0.732587	0.50102
0.0111189	0.0139765	-5.20324	0.124408
0.286043	0.421166	0.360843	0.526143
0.107429	0.142061	-0.0499243	0.459568
0.508371	0.887538	0.525261	0.388679
0.816025	2.1162	0.826618	-1.68143
0.0755378	0.0981788	-0.306903	-0.385601
0.700333	1.50636	0.665629	-0.868707
0.692926	1.47583	0.658624	0.828926
0.556079	1.01514	0.555605	-0.482002
0.52428	0.928658	0.535285	1.1309
0.937838	3.47252	1.53108	-2.19081
0.581205	1.08797	0.572159	-1.16806
0.322474	0.486634	0.395246	0.881759
0.0465888	0.0596362	-0.836694	0.109213
0.986332	5.36585	5.17478	2.57252
0.439049	0.722652	0.481228	-0.962037
0.820004	2.14353	0.835158	-1.30633
0.723284	1.60596	0.68896	-1.60287
0.734235	1.65643	0.70111	1.07992
0.724275	1.61044	0.69003	-1.29489
0.732144	1.64663	0.698733	-1.26814
0.486271	0.832573	0.511368	-0.422948
0.751582	1.7408	0.721998	1.63385
0.161239	0.219787	0.159533	0.233877
0.0386292	0.0492439	-1.11993	-0.262688
0.403094	0.644995	0.457159	0.979545
0.0267121	0.0338442	-1.85767	0.0297009
0.526853	0.935437	0.536913	-0.669096
0.799518	2.00879	0.794401	0.921138
0.465603	0.78327	0.498303	-0.0342472
0.450125	0.747581	0.488404	-1.05601
0.0785518	0.102261	-0.273926	-0.271527
0.65995	1.34833	0.62991	-1.3227
0.0426666	0.0545044	-0.963134	0.107211
0.161997	0.220917	0.161547	0.221595
0.466789	0.786046	0.499057	1.03157
0.382544	0.602684	0.442657	-0.568711
0.725305	1.61512	0.691148	1.52258
0.338866	0.517249	0.40912	-0.608375
0.699266	1.50191	0.664605	-0.850703
0.0796116	0.103699	-0.262913	-0.111627
0.673405	1.39879	0.641186	0.251537
0.766476	1.81809	0.741856	-1.53503
0.26121	0.378427	0.333613	-0.72142
0.49511	0.854269	0.516927	-0.296556
0.766581	1.81865	0.742003	-0.676501
0.62974	1.24194	0.606354	1.25384
0.8456	2.33526	0.899461	-1.18233
0.676474	1.41059	0.643838	1.02813
0.867592	2.52733	0.972744	-1.74972
0.347277	0.533254	0.415931	0.923531
0.309392	0.462728	0.383521	-0.060531
0.679214	1.42123	0.646233	-1.50203
0.325081	0.491453	0.39751	0.88428
0.986975	5.42614	5.4051	-0.700002
0.446365	0.739062	0.485978	-1.0346
0.562405	1.03308	0.55972	-1.19019
0.473271	0.801337	0.503166	1.02076
0.820476	2.14681	0.836195	-1.21394
