y uniforme	x esponenziale	x Cauchy_Lorenz	x gaussiana
 	 	 	 
0.272735	0.424187	-2.74037	-0.013608
0.604593	1.15573	0.382375	0.496372
0.482433	1.01859	-0.505063	0.632807
0.503334	0.781016	-0.0531939	-0.100351
0.390635	0.583435	-0.551162	-0.199362
0.459367	1.04667	-1.21471	-0.399278
0.535817	0.985647	-0.701524	0.438459
0.430564	0.886718	-0.0106122	0.162121
0.318444	0.566575	-1.57292	0.208141
0.438408	0.858042	-2.67004	-0.898879
0.526481	1.19746	2.37465	0.177916
0.478009	1.03131	0.731603	0.0347431
0.54899	1.1467	-0.103925	0.288399
0.504893	0.896193	-2.3106	-0.039921
0.469541	0.973384	-1.75395	0.471599
0.583059	1.41848	9.44522	-0.267347
0.519812	1.33061	-38.6366	0.502643
0.523692	0.885937	-0.41253	-0.610121
0.574936	0.959606	0.379938	-0.0720894
0.601373	1.2392	1.09674	-0.0361836
0.485817	1.08964	-0.575255	-0.322787
0.404542	0.924065	1.6287	0.423613
0.569825	1.2084	2.56742	-0.388998
0.459366	0.740448	-2.22137	-0.211825
0.319927	0.499938	-1.36131	-0.109883
0.461125	0.833249	-1.09624	0.118018
0.34351	0.545639	-1.52351	-0.212578
0.554628	1.27018	9.44343	-0.405586
0.605799	1.03741	0.484442	0.0241933
0.425087	0.6317	-0.668503	0.0863993
0.428965	0.829197	0.23093	-0.0209996
0.493325	0.824907	-6.15565	0.406629
0.586676	1.08882	0.52453	-0.383816
0.254086	0.343356	-5.38177	0.296481
0.635021	1.50928	3.21522	-1.08168
0.453654	0.922777	-1.27428	0.263862
0.334419	0.71116	-3.46828	-0.679736
0.472917	1.29672	36.457	-0.292828
0.543267	1.02395	0.654447	0.342053
0.564404	1.13686	0.964161	-0.196145
0.502799	0.971824	-3.92231	-0.335094
0.486783	0.882662	-5.85622	0.244248
0.483746	0.767683	-0.2304	-0.355327
0.587699	1.3514	-9.35337	-0.274236
0.629106	1.76161	32.4096	-0.116255
0.705769	1.6546	2.48616	0.428781
