Current pi	Ave_pi	Stdev_pi
3.14852	3.14852	0
3.13029	3.1394	0.00644269
3.14224	3.14035	0.00436385
3.14215	3.1408	0.003296
3.14986	3.14261	0.00309497
3.14488	3.14299	0.00260222
3.11451	3.13892	0.00437756
3.12775	3.13752	0.00404692
3.12047	3.13563	0.00401642
3.12956	3.13502	0.0036603
3.15868	3.13717	0.00390858
3.16908	3.13983	0.00439498
3.15217	3.14078	0.00415813
3.13113	3.14009	0.00391782
3.13421	3.1397	0.00367623
3.15811	3.14085	0.00362214
3.17543	3.14288	0.0039389
3.14716	3.14312	0.00372723
3.15409	3.1437	0.00357546
3.15141	3.14408	0.00341739
3.12922	3.14338	0.0033272
3.11081	3.1419	0.00348971
3.109	3.14047	0.00361919
3.15629	3.14113	0.0035279
3.16703	3.14216	0.00353571
3.1569	3.14273	0.00344488
3.13773	3.14254	0.00332226
3.14036	3.14247	0.00320453
3.13874	3.14234	0.00309659
3.1557	3.14278	0.00302524
3.15462	3.14316	0.00295166
3.16948	3.14399	0.0029718
3.12884	3.14353	0.002917
3.14902	3.14369	0.00283568
3.11317	3.14282	0.00288565
3.13508	3.1426	0.00281349
3.13013	3.14227	0.00275758
3.11544	3.14156	0.00277392
3.12912	3.14124	0.00272107
3.13368	3.14105	0.0026596
3.15266	3.14133	0.00260976
3.13371	3.14115	0.00255393
3.13675	3.14105	0.00249659
3.16904	3.14169	0.0025196
3.15007	3.14187	0.00247049
3.14611	3.14197	0.0024185
3.14027	3.14193	0.00236731
3.14106	3.14191	0.00231806
3.11904	3.14144	0.00231726
3.17218	3.14206	0.00235103
3.15106	3.14224	0.00231154
3.1515	3.14241	0.00227395
3.14177	3.1424	0.00223107
3.13672	3.1423	0.00219224
3.12563	3.14199	0.00217321
3.14146	3.14198	0.00213443
3.14703	3.14207	0.00209882
3.12339	3.14175	0.0020872
3.17878	3.14238	0.00214412
3.14266	3.14238	0.00210839
3.1453	3.14243	0.00207436
3.18836	3.14317	0.00216918
3.13548	3.14305	0.00213818
3.1611	3.14333	0.00212328
3.17805	3.14386	0.00215676
3.13697	3.14376	0.00212661
3.16615	3.14409	0.00212097
3.12446	3.14381	0.00210934
3.12021	3.14346	0.00210631
3.14806	3.14353	0.00207724
3.14544	3.14356	0.00204816
3.12789	3.14334	0.00203124
3.15633	3.14352	0.0020112
3.12865	3.14332	0.00199404
3.12775	3.14311	0.00197823
3.14986	3.1432	0.0019542
3.15265	3.14332	0.00193267
3.14024	3.14328	0.0019083
3.15948	3.14349	0.00189512
3.13155	3.14334	0.0018773
3.15541	3.14349	0.00186002
3.13618	3.1434	0.00183947
3.13897	3.14334	0.00181808
3.12742	3.14315	0.00180629
3.12752	3.14297	0.00179437
3.14452	3.14299	0.0017736
3.1263	3.1428	0.00176355
3.10297	3.14234	0.00180064
3.13461	3.14226	0.00178251
3.13877	3.14222	0.00176312
3.14264	3.14222	0.00174375
3.14098	3.14221	0.00172485
3.13551	3.14214	0.00170781
3.12602	3.14197	0.00169822
3.13696	3.14191	0.00168116
3.14202	3.14191	0.00166365
3.1398	3.14189	0.00164664
3.15206	3.142	0.00163311
3.16965	3.14228	0.00164033
3.1417	3.14227	0.00162393
