Blk	Current <I>	Global <I>	Stdev <I>
1	0.994708	0.994708	0
2	1.00117	0.997939	0.00228415
3	1.00094	0.99894	0.00172852
4	0.985383	0.995551	0.00320886
5	1.00424	0.997289	0.00300093
6	1.0102	0.999441	0.00318038
7	0.997698	0.999192	0.00273577
8	0.996414	0.998845	0.00241574
9	0.991769	0.998059	0.00227167
10	0.98859	0.997112	0.00223315
11	1.00047	0.997417	0.0020509
12	0.984033	0.996302	0.0021621
13	0.986993	0.995586	0.00211104
14	1.00151	0.996009	0.00200225
15	1.00769	0.996788	0.00201447
16	0.990481	0.996393	0.00192673
17	1.01673	0.99759	0.00215295
18	0.99307	0.997339	0.00204793
19	1.00149	0.997557	0.00195179
20	0.992813	0.99732	0.00186855
21	1.00149	0.997518	0.00179009
22	1.00451	0.997836	0.00173673
23	0.995636	0.997741	0.00166385
24	1.00859	0.998193	0.00165481
25	0.996682	0.998132	0.00158972
26	0.989495	0.9978	0.0015629
27	0.991417	0.997564	0.00152279
28	1.00903	0.997973	0.00152245
29	0.994543	0.997855	0.00147454
30	1.00611	0.99813	0.00145083
31	1.01329	0.998619	0.00148412
32	1.00203	0.998726	0.00144157
33	0.997795	0.998698	0.00139817
34	0.99458	0.998576	0.00136228
35	1.009	0.998874	0.00135549
36	0.996306	0.998803	0.00131971
37	0.996857	0.99875	0.00128509
38	0.996264	0.998685	0.00125294
39	0.991276	0.998495	0.00123513
40	0.994881	0.998404	0.00120755
41	0.997087	0.998372	0.00117853
42	0.994002	0.998268	0.00115505
43	1.00809	0.998497	0.00115055
44	0.992576	0.998362	0.00113224
45	1.00418	0.998491	0.00111444
46	1.01384	0.998825	0.00113909
47	0.996941	0.998785	0.00111556
48	0.99187	0.998641	0.00110158
49	0.994393	0.998554	0.00108251
50	0.988429	0.998352	0.00107963
51	0.998938	0.998363	0.00105852
52	1.00512	0.998493	0.00104611
53	0.986765	0.998272	0.00104951
54	0.986293	0.99805	0.00105326
55	0.9881	0.997869	0.00104954
56	0.990927	0.997745	0.00103809
57	1.00204	0.997821	0.00102261
58	0.991877	0.997718	0.0010101
59	0.992692	0.997633	0.000996569
60	1.00415	0.997742	0.00098586
61	0.999335	0.997768	0.000970045
62	0.998647	0.997782	0.000954502
63	1.00784	0.997942	0.000952612
64	1.00277	0.998017	0.000940711
65	1.01534	0.998284	0.000963257
66	0.998022	0.99828	0.000948671
67	1.0046	0.998374	0.000939194
68	1.00135	0.998418	0.000926405
69	1.00813	0.998558	0.0009236
70	1.00196	0.998607	0.000911687
71	0.990482	0.998493	0.000906001
72	0.998344	0.998491	0.00089342
73	1.00011	0.998513	0.000881456
74	0.990604	0.998406	0.000876
75	1.0007	0.998437	0.000864855
76	0.999776	0.998454	0.000853655
77	0.98588	0.998291	0.000858046
78	1.00175	0.998335	0.000848188
79	0.99164	0.99825	0.000841675
80	1.01112	0.998411	0.000846379
81	0.995193	0.998371	0.000836862
82	0.999749	0.998388	0.000826825
83	0.996773	0.998369	0.000817092
84	0.995332	0.998333	0.000808164
85	0.997826	0.998327	0.000798679
86	1.00437	0.998397	0.000792474
87	1.01031	0.998534	0.000795105
88	1.00505	0.998608	0.000789508
89	0.989055	0.998501	0.0007879
90	0.99095	0.998417	0.0007836
91	0.995982	0.99839	0.000775445
92	1.00787	0.998493	0.000773835
93	1.00625	0.998576	0.000769993
94	1.00964	0.998694	0.00077075
95	1.01242	0.998839	0.000776059
96	1.00847	0.998939	0.000774437
97	1.01131	0.999066	0.000776889
98	0.991204	0.998986	0.000773093
99	0.992034	0.998916	0.000768467
100	1.00171	0.998944	0.000761289
