Current Batch <r> 	Global <r> Uncertainty <r>
6.93997	6.93997	0
7.0666	7.00329	0.0447727
7.22438	7.07698	0.0671703
7.18141	7.10309	0.0552182
7.28434	7.13934	0.0547964
6.83117	7.08798	0.0654491
7.16274	7.09866	0.0569641
6.83526	7.06573	0.0585909
7.35113	7.09745	0.0600521
7.01462	7.08916	0.054615
7.11135	7.09118	0.0496873
7.19451	7.09979	0.0462868
6.85389	7.08088	0.0464305
7.211	7.09017	0.0440345
7.25771	7.10134	0.0424918
7.17024	7.10565	0.0400537
7.0596	7.10294	0.037789
7.19756	7.10819	0.0360534
7.10562	7.10806	0.0341561
7.14831	7.11007	0.0325076
6.96585	7.1032	0.0316767
7.00685	7.09882	0.0305381
7.18739	7.10267	0.0294522
6.97643	7.09741	0.0286909
7.11254	7.09802	0.0275497
7.27956	7.105	0.0273606
7.27691	7.11137	0.0270779
7.44075	7.12313	0.0285521
6.85314	7.11382	0.0290458
7.35974	7.12202	0.0292114
7.08044	7.12068	0.0282999
6.79039	7.11036	0.0292371
7.05373	7.10864	0.0284015
7.02899	7.1063	0.0276626
7.33393	7.1128	0.0276262
7.00634	7.10984	0.0270166
6.86226	7.10315	0.0271025
7.40395	7.11107	0.0275209
7.17927	7.11282	0.0268708
7.27722	7.11693	0.0265115
6.86577	7.1108	0.0265632
6.87083	7.10509	0.0265381
6.83841	7.09889	0.0266358
6.92364	7.0949	0.0263265
6.99237	7.09262	0.0258399
7.06008	7.09192	0.0252878
7.2731	7.09577	0.0250419
7.16464	7.09721	0.0245613
7.30073	7.10136	0.0244087
7.44803	7.10829	0.0248858
