Current Batch <r> 	Global <r> Uncertainty <r>
7.11829	7.11829	0
7.25328	7.18578	0.0477258
6.95054	7.10737	0.0714946
7.45185	7.19349	0.0918566
7.10493	7.17577	0.0751735
6.95342	7.13872	0.071196
7.10845	7.13439	0.0611563
6.97925	7.115	0.0565027
6.86222	7.08691	0.056778
7.00857	7.07908	0.0516379
7.13933	7.08455	0.0472331
7.23464	7.09706	0.0449224
6.74685	7.07012	0.0488815
7.0859	7.07125	0.0454029
7.08802	7.07237	0.0423898
7.25741	7.08393	0.041288
6.86804	7.07123	0.0407656
7.20625	7.07873	0.0391848
7.09507	7.07959	0.0371319
6.70746	7.06099	0.0396642
7.36478	7.07545	0.0403273
7.03847	7.07377	0.0385293
7.07814	7.07396	0.0368546
6.69403	7.05813	0.0385694
7.26361	7.06635	0.0378922
6.88912	7.05953	0.0370428
7.1	7.06103	0.0357012
7.32189	7.07035	0.0356209
7.3675	7.0806	0.0358361
6.88477	7.07407	0.035231
6.91375	7.0689	0.034472
7.34098	7.0774	0.0344274
6.95773	7.07377	0.0335746
7.2118	7.07783	0.0328316
6.84471	7.07117	0.0325622
7.18958	7.07446	0.0318233
7.44312	7.08442	0.0324856
7.25052	7.08879	0.0319234
7.16101	7.09065	0.0311585
6.93686	7.0868	0.0306159
7.14913	7.08832	0.0299068
7.35799	7.09474	0.029876
7.00928	7.09275	0.0292473
7.05124	7.09181	0.0285978
7.07814	7.09151	0.0279639
7.39189	7.09804	0.0281081
6.95773	7.09505	0.0276681
6.9217	7.09144	0.0273264
6.87241	7.08697	0.0271318
6.77422	7.08072	0.0273007
