#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.82288     1.82288           0
           2      1.8198     1.82134  0.00108923
           3     1.84909     1.83059  0.00758679
           4     1.84927     1.83526  0.00698064
           5     1.85437     1.83908   0.0065472
           6     1.86124     1.84278  0.00641351
           7     1.85113     1.84397  0.00560733
           8     1.82681     1.84183  0.00530095
           9     1.80362     1.83758  0.00618207
          10     1.80252     1.83407  0.00648211
          11     1.81056     1.83194  0.00623549
          12     1.81535     1.83055  0.00586704
          13     1.81532     1.82938  0.00553155
          14     1.81154     1.82811  0.00528117
          15     1.80658     1.82667  0.00512042
          16     1.80153      1.8251  0.00503577
          17     1.79659     1.82342  0.00501115
          18     1.79529     1.82186   0.0049706
          19     1.79727     1.82057  0.00487454
          20     1.79684     1.81938  0.00477294
          21     1.79235     1.81809  0.00471601
          22     1.78828     1.81674  0.00469226
          23      1.7913     1.81563  0.00461677
          24     1.80151     1.81504  0.00446177
          25     1.81399       1.815   0.0042835
          26     1.81975     1.81518  0.00412264
          27     1.80617     1.81485  0.00398346
          28     1.78082     1.81364  0.00402232
          29     1.78538     1.81266  0.00399991
          30     1.80455     1.81239  0.00387571
          31     1.82117     1.81267  0.00376103
          32     1.82642      1.8131  0.00366794
          33        1.82     1.81331  0.00356274
          34     1.80956      1.8132  0.00345966
          35     1.80839     1.81306  0.00336355
          36     1.82045     1.81327  0.00327636
          37     1.82779     1.81366  0.00321122
          38     1.83005     1.81409  0.00315556
          39     1.81069     1.81401  0.00307585
          40     1.80311     1.81373  0.00301099
          41     1.80724     1.81358  0.00294171
          42     1.81995     1.81373  0.00287558
          43     1.81858     1.81384  0.00281092
          44     1.80882     1.81373  0.00274935
          45     1.82606       1.814  0.00270188
          46     1.84027     1.81457  0.00270282
          47     1.85182     1.81536  0.00275905
          48     1.86503      1.8164   0.0028891
          49     1.86172     1.81732  0.00297453
          50     1.83515     1.81768  0.00293633
          51     1.80909     1.81751  0.00288358
          52     1.81461     1.81746  0.00282866
          53     1.84582     1.81799  0.00282545
          54     1.85781     1.81873  0.00286774
          55     1.86244     1.81952  0.00292366
          56     1.84253     1.81993  0.00290019
          57     1.81724     1.81989  0.00284969
          58     1.83116     1.82008  0.00280718
          59     1.85274     1.82063  0.00281365
          60     1.85479      1.8212  0.00282377
          61     1.85133      1.8217  0.00282034
          62     1.86057     1.82232  0.00284368
          63     1.86247     1.82296  0.00286904
          64     1.85154     1.82341  0.00285874
          65     1.84117     1.82368  0.00282779
          66     1.83432     1.82384  0.00278953
          67     1.83447       1.824  0.00275241
          68      1.8405     1.82424   0.0027226
          69     1.84557     1.82455  0.00270063
          70     1.84046     1.82478  0.00267159
          71     1.82423     1.82477  0.00263397
          72     1.80548      1.8245  0.00261099
          73     1.80228      1.8242  0.00259291
          74     1.81179     1.82403  0.00256329
          75     1.81608     1.82393   0.0025313
          76     1.82086     1.82389  0.00249832
          77     1.83114     1.82398  0.00246765
          78     1.82211     1.82396  0.00243613
          79     1.80339      1.8237  0.00241916
          80     1.81827     1.82363  0.00238987
          81     1.82054     1.82359  0.00236067
          82      1.8152     1.82349   0.0023341
          83     1.81939     1.82344   0.0023065
          84     1.83449     1.82357   0.0022828
