#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.47121     1.47121           0
           2     1.48139      1.4763   0.0035982
           3     1.59965     1.51742   0.0336565
           4     1.71922     1.56787   0.0504591
           5     1.73671     1.60164    0.050416
           6     1.72862      1.6228   0.0462427
           7     1.72833     1.63788   0.0420222
           8     1.73304     1.64977   0.0384163
           9     1.72718     1.65837   0.0350974
          10     1.69587     1.66212   0.0317873
          11     1.71164     1.66662   0.0292146
          12     1.71136     1.67035   0.0270169
          13     1.74272     1.67592   0.0255057
          14     1.77875     1.68326   0.0247188
          15     1.77482     1.68937   0.0238125
          16     1.67833     1.68868   0.0223342
          17     1.47333     1.67601   0.0243492
          18     1.45869     1.66394   0.0258168
          19     1.63294      1.6623   0.0245095
          20     1.67469     1.66292   0.0232919
          21     1.59129     1.65951   0.0224312
          22     1.53911     1.65404   0.0220691
          23     1.62791      1.6529   0.0211388
          24     1.69833      1.6548   0.0203426
          25      1.7129     1.65712   0.0196612
          26     1.65999     1.65723   0.0189053
          27     1.62874     1.65618   0.0182345
          28     1.63123     1.65528    0.017605
          29     1.58667     1.65292   0.0171562
          30     1.63028     1.65216   0.0166009
          31     1.59328     1.65026   0.0161737
          32     1.55971     1.64743   0.0159139
          33        1.61      1.6463    0.015472
          34     1.68412     1.64741   0.0150569
