#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.19546     1.19546           0
           2     1.11831     1.15689   0.0272752
           3      1.1213     1.14502   0.0206021
           4     1.20892       1.161   0.0207395
           5     1.24981     1.17876   0.0229713
           6     1.28301     1.19614   0.0248604
           7     1.28484     1.20881   0.0243249
           8     1.22771     1.21117   0.0213988
           9     1.22069     1.21223   0.0190473
          10     1.25376     1.21638   0.0175894
          11     1.21409     1.21617   0.0159916
          12     1.20442     1.21519   0.0146889
          13     1.18984     1.21324   0.0136879
          14     1.15768     1.20927   0.0132731
          15     1.26622     1.21307   0.0129198
          16     1.24058     1.21479   0.0122262
          17     1.13673      1.2102   0.0123393
          18     1.23156     1.21138   0.0117107
          19     1.34519     1.21843   0.0130412
          20     1.29598      1.2223   0.0129527
          21     1.09706     1.21634   0.0136401
          22     1.07587     1.20996   0.0144373
          23      1.2996     1.21385    0.014326
          24     1.31849     1.21821   0.0143773
          25     1.17133     1.21634    0.013924
          26     1.18865     1.21527   0.0134291
          27      1.2624     1.21702   0.0130447
          28     1.26962      1.2189   0.0127133
          29     1.16761     1.21713   0.0123973
          30     1.16232      1.2153    0.012118
          31     1.21977     1.21545   0.0117279
          32     1.19787      1.2149   0.0113743
          33     1.18165     1.21389   0.0110741
          34     1.21426      1.2139   0.0107484
