#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.369974   -0.369974           0
           2   -0.368173   -0.369074 0.000636557
           3   -0.397196   -0.378448  0.00766583
           4   -0.396973   -0.383079  0.00701009
           5   -0.402431   -0.386949  0.00659043
           6   -0.409044   -0.390632  0.00643911
           7   -0.398595   -0.391769  0.00561882
           8   -0.374055   -0.389555  0.00533497
           9   -0.351183   -0.385291  0.00621663
          10   -0.350489   -0.381811  0.00649649
          11     -0.3585   -0.379692    0.006242
          12   -0.363202   -0.378318  0.00587114
          13   -0.363076   -0.377145  0.00553535
          14   -0.359251   -0.375867  0.00528548
          15   -0.354288   -0.374429  0.00512517
          16   -0.349246   -0.372855  0.00504072
          17   -0.344327   -0.371177  0.00501576
          18   -0.343141   -0.369619  0.00497307
          19   -0.345131    -0.36833  0.00487548
          20   -0.344631   -0.367145  0.00477353
          21    -0.34008   -0.365856    0.004717
          22   -0.336105   -0.364504  0.00469244
          23   -0.339294   -0.363408  0.00461466
          24    -0.34959   -0.362832  0.00445816
          25   -0.362041   -0.362801  0.00427994
          26   -0.367524   -0.362982  0.00411919
          27   -0.353457   -0.362629   0.0039817
          28   -0.328352   -0.361405   0.0040233
          29   -0.333539   -0.360444  0.00399767
          30   -0.352745   -0.360188  0.00387264
          31   -0.369234   -0.360479   0.0037587
          32   -0.374211   -0.360909  0.00366565
          33   -0.367642   -0.361113  0.00356025
          34   -0.357256   -0.360999  0.00345734
          35   -0.356441   -0.360869  0.00336101
          36   -0.368532   -0.361082  0.00327438
          37   -0.375791   -0.361479  0.00320993
          38   -0.377741   -0.361907  0.00315385
          39   -0.358171   -0.361812  0.00307444
          40    -0.35098   -0.361541  0.00300948
          41   -0.355295   -0.361388  0.00293993
          42   -0.368031   -0.361547  0.00287419
          43   -0.366207   -0.361655  0.00280939
          44   -0.356776   -0.361544  0.00274773
          45   -0.374368   -0.361829   0.0027014
          46   -0.388372   -0.362406   0.0027036
          47   -0.400018   -0.363206  0.00276198
          48    -0.41311   -0.364246   0.0028935
          49   -0.409326   -0.365166  0.00297712
          50   -0.382475   -0.365512  0.00293763
          51   -0.356711    -0.36534   0.0028851
          52   -0.363155   -0.365298  0.00282992
          53    -0.39418   -0.365843  0.00282851
          54   -0.405952   -0.366585    0.002872
          55   -0.410301    -0.36738  0.00292771
          56   -0.389857   -0.367781  0.00290281
          57   -0.365049   -0.367734  0.00285228
          58   -0.379651   -0.367939  0.00281049
          59   -0.400917   -0.368498  0.00281789
          60   -0.402612   -0.369067   0.0028277
          61    -0.39932   -0.369563  0.00282451
          62   -0.408674   -0.370193  0.00284853
          63    -0.41023   -0.370829  0.00287333
          64   -0.399199   -0.371272  0.00286242
          65   -0.388885   -0.371543  0.00283118
          66   -0.382129   -0.371703  0.00279282
          67   -0.382423   -0.371863  0.00275572
          68   -0.388518   -0.372108  0.00272605
          69   -0.393465   -0.372418  0.00270406
          70   -0.388122   -0.372642  0.00267472
          71   -0.371723   -0.372629  0.00263708
          72   -0.353095   -0.372358  0.00261437
          73   -0.350307   -0.372056  0.00259595
          74   -0.359855   -0.371891   0.0025661
          75   -0.364011   -0.371786  0.00253404
          76   -0.368959   -0.371749  0.00250097
          77   -0.379141   -0.371845  0.00247033
          78   -0.369545   -0.371815  0.00243883
          79   -0.351311   -0.371556  0.00242173
          80   -0.366421   -0.371492  0.00239231
          81   -0.368294   -0.371452   0.0023631
          82   -0.363023   -0.371349  0.00233652
          83   -0.367493   -0.371303  0.00230883
          84   -0.382704   -0.371439  0.00228533
