#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -4.85982    -4.85982           0
           2     -4.8729    -4.86636  0.00462478
           3    -4.99488     -4.9092   0.0351122
           4     -5.1145    -4.96052   0.0516638
           5    -5.13083    -4.99459   0.0513453
           6    -5.12281    -5.01596   0.0470251
           7    -5.12163    -5.03105   0.0426618
           8    -5.12664      -5.043   0.0389665
           9    -5.12012    -5.05157   0.0355665
          10    -5.09109    -5.05552   0.0322287
          11    -5.10676    -5.06018   0.0296335
          12    -5.10639    -5.06403   0.0274131
          13    -5.13726    -5.06966   0.0258767
          14    -5.17384    -5.07711   0.0250755
          15    -5.16686    -5.08309   0.0241072
          16    -5.06835    -5.08217   0.0226181
          17    -4.86077    -5.06914   0.0247545
          18    -4.85269    -5.05712   0.0261374
          19    -5.02615    -5.05549   0.0248125
          20    -5.06595    -5.05601   0.0235774
          21    -4.98001    -5.05239   0.0227308
          22    -4.93348    -5.04699    0.022331
          23    -5.02367    -5.04597   0.0213831
          24    -5.09279    -5.04792   0.0205809
          25    -5.10452    -5.05019   0.0198818
          26    -5.05094    -5.05022   0.0191171
          27    -5.02313    -5.04921   0.0184354
          28    -5.02199    -5.04824   0.0178026
          29    -4.97886    -5.04585   0.0173487
          30    -5.02256    -5.04507   0.0167878
          31    -4.98311    -5.04307   0.0163648
          32    -4.95355    -5.04028   0.0160908
          33    -5.00558    -5.03923   0.0156375
          34    -5.07944    -5.04041   0.0152222
