#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -6.62556    -6.62556           0
           2     -6.5511    -6.58833    0.026327
           3      -6.556    -6.57755   0.0196339
           4    -6.64376     -6.5941   0.0205493
           5    -6.68298    -6.61188   0.0228699
           6    -6.71912    -6.62975    0.025088
           7    -6.71738    -6.64227   0.0244283
           8    -6.66135    -6.64466   0.0214909
           9    -6.65692    -6.64602   0.0191462
          10    -6.68783     -6.6502   0.0176823
          11    -6.64345    -6.64959   0.0160855
          12    -6.63606    -6.64846   0.0147844
          13    -6.62051    -6.64631   0.0138026
          14    -6.59308    -6.64251     0.01333
          15    -6.70085     -6.6464   0.0129963
          16    -6.67106    -6.64794   0.0122751
          17    -6.56974    -6.64334    0.012385
          18    -6.67101    -6.64488    0.011792
          19    -6.78139    -6.65206   0.0131797
          20    -6.72948    -6.65593   0.0130769
          21    -6.52708     -6.6498   0.0138188
          22    -6.51184    -6.64353    0.014544
          23    -6.73742    -6.64761   0.0144732
          24    -6.75019    -6.65188   0.0144876
          25    -6.60268    -6.64991   0.0140411
          26    -6.62348     -6.6489   0.0135378
          27    -6.69651    -6.65066   0.0131508
          28    -6.69971    -6.65241   0.0127973
          29    -6.59676    -6.65049    0.012499
          30    -6.59476    -6.64864   0.0122197
          31    -6.65154    -6.64873   0.0118258
          32    -6.63058    -6.64816   0.0114699
          33    -6.61868    -6.64727    0.011157
          34    -6.65337    -6.64745   0.0108303
