#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1   0.0607904   0.0607904           0
           2   0.0606855   0.0607379  3.7065e-05
           3   0.0615765   0.0610175 0.000229561
           4   0.0615536   0.0611515 0.000207644
           5   0.0616812   0.0612574  0.00019124
           6   0.0618685   0.0613593 0.000184507
           7   0.0615366   0.0613846 0.000159878
           8   0.0607703   0.0613078 0.000157258
           9   0.0600385   0.0611668 0.000192927
          10   0.0599869   0.0610488 0.000206584
          11   0.0602135   0.0609729 0.000201276
          12   0.0603386     0.06092 0.000191316
          13   0.0603178   0.0608737 0.000182121
          14   0.0601868   0.0608246 0.000175597
          15   0.0600246   0.0607713   0.0001718
          16   0.0598638   0.0607146 0.000170167
          17   0.0597079   0.0606554 0.000170148
          18   0.0596651   0.0606003 0.000169356
          19   0.0597246   0.0605543 0.000166597
          20   0.0597105   0.0605121 0.000163522
          21   0.0595721   0.0604673 0.000161745
          22   0.0594479    0.060421 0.000160894
          23   0.0595444   0.0603829 0.000158348
          24   0.0598669   0.0603614 0.000153203
          25   0.0602664   0.0603576 0.000147122
          26   0.0604677   0.0603618 0.000141524
          27   0.0600764   0.0603512 0.000136677
          28   0.0593172   0.0603143 0.000136694
          29   0.0594777   0.0602854  0.00013499
          30   0.0600817   0.0602787 0.000130661
          31   0.0606022   0.0602891 0.000126862
          32   0.0607712   0.0603042 0.000123789
          33   0.0605814   0.0603126 0.000120323
          34   0.0602669   0.0603112 0.000116791
          35   0.0602363   0.0603091 0.000113474
          36    0.060615   0.0603176  0.00011064
          37   0.0608473   0.0603319 0.000108572
          38    0.060927   0.0603475 0.000106838
          39   0.0603341   0.0603472 0.000104099
          40   0.0601011    0.060341 0.000101679
          41   0.0602237   0.0603382 9.92389e-05
          42     0.06061   0.0603447 9.70868e-05
          43   0.0605598   0.0603497 9.49578e-05
          44   0.0602474   0.0603473 9.28281e-05
          45   0.0607753   0.0603568 9.12512e-05
          46   0.0612107   0.0603754  9.1136e-05
          47   0.0615689   0.0604008 9.26671e-05
          48   0.0619907   0.0604339 9.64746e-05
          49   0.0619134   0.0604641 9.91181e-05
          50   0.0611206   0.0604772 9.80014e-05
          51   0.0603371   0.0604745 9.61183e-05
          52   0.0605185   0.0604753 9.42736e-05
          53   0.0614883   0.0604945 9.44122e-05
          54    0.061857   0.0605197 9.59761e-05
          55   0.0620034   0.0605467 9.79489e-05
          56   0.0613914   0.0605617 9.73546e-05
          57   0.0606052   0.0605625 9.56496e-05
          58   0.0610279   0.0605705 9.43364e-05
          59    0.061683   0.0605894 9.46032e-05
          60   0.0617311   0.0606084 9.49209e-05
          61   0.0616103   0.0606248 9.47752e-05
          62   0.0618895   0.0606452 9.54163e-05
          63   0.0619469   0.0606659 9.61128e-05
          64   0.0616095   0.0606806 9.57352e-05
          65   0.0612892     0.06069  9.4719e-05
          66   0.0610725   0.0606958  9.3461e-05
          67   0.0610653   0.0607013 9.22286e-05
          68    0.061236   0.0607092 9.12069e-05
          69   0.0613788   0.0607189 9.03998e-05
          70   0.0612111   0.0607259 8.93814e-05
          71   0.0607025   0.0607256 8.81231e-05
          72   0.0601134   0.0607171 8.73085e-05
          73    0.060001   0.0607073 8.66617e-05
          74   0.0602776   0.0607015 8.56849e-05
          75   0.0603904   0.0606973 8.46427e-05
          76   0.0605214    0.060695 8.35607e-05
          77   0.0608339   0.0606968 8.24949e-05
          78   0.0605591    0.060695 8.14562e-05
          79   0.0599876   0.0606861 8.09159e-05
          80   0.0604656   0.0606833 7.99513e-05
          81   0.0605521   0.0606817 7.89807e-05
          82   0.0603996   0.0606783 7.80924e-05
          83   0.0605383   0.0606766 7.71697e-05
          84   0.0610127   0.0606806 7.63547e-05
