#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    0.802035    0.802035           0
           2    0.806905     0.80447  0.00172185
           3    0.864968    0.824636   0.0165056
           4    0.923821    0.849432   0.0247867
           5    0.932487    0.866043   0.0247779
           6     0.92899    0.876534   0.0227611
           7    0.929592    0.884114   0.0207332
           8    0.932409    0.890151   0.0190001
           9    0.929555    0.894529   0.0173861
          10    0.913474    0.896424   0.0157504
          11    0.920768    0.898637   0.0144732
          12    0.920079    0.900424   0.0133769
          13    0.935416    0.903115   0.0126158
          14    0.953385    0.906706    0.012215
          15    0.951824    0.909714   0.0117652
          16    0.904442    0.909384   0.0110345
          17    0.802859    0.903118   0.0120338
          18     0.79531    0.897129    0.012769
          19     0.88173    0.896318   0.0121227
          20    0.902427    0.896624   0.0115204
          21    0.861229    0.894938   0.0110944
          22    0.835329    0.892229    0.010916
          23    0.879565    0.891678   0.0104552
          24    0.914594    0.892633   0.0100631
          25    0.921802      0.8938  0.00972798
          26    0.895336    0.893859  0.00935401
          27    0.879627    0.893332   0.0090224
          28    0.881002    0.892891  0.00871091
          29    0.858728    0.891713  0.00848982
          30    0.880457    0.891338  0.00821511
          31    0.862169    0.890397  0.00800382
          32    0.845581    0.888997  0.00787527
          33    0.870743    0.888444  0.00765603
          34    0.907613    0.889007  0.00745158
