#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     0.95877     0.95877           0
           2    0.906179    0.932475   0.0185938
           3    0.908241    0.924397   0.0140414
           4    0.968263    0.935363    0.014181
           5    0.996224    0.947535   0.0157237
           6     1.01878     0.95941   0.0170059
           7     1.02034    0.968115    0.016656
           8    0.981406    0.969776   0.0146566
           9     0.97639    0.970511   0.0130465
          10    0.998806    0.973341   0.0120448
          11    0.971613    0.973184   0.0109508
          12    0.965092    0.972509    0.010059
          13     0.95547    0.971199  0.00937024
          14    0.933116    0.968478  0.00908721
          15     1.00711    0.971054  0.00883889
          16    0.989813    0.972227  0.00836385
          17    0.918986    0.969095  0.00843785
          18    0.983572    0.969899  0.00800732
          19     1.06108    0.974698  0.00890868
          20     1.02788    0.977357  0.00885119
          21    0.892536    0.973318  0.00930577
          22    0.877804    0.968977  0.00984358
          23     1.03036    0.971645  0.00977065
          24     1.04339    0.974635  0.00981024
          25    0.943004    0.973369  0.00949906
          26    0.954766    0.972654  0.00916062
          27     1.00499    0.973852  0.00889928
          28     1.01015    0.975148  0.00867537
          29    0.940643    0.973958  0.00845742
          30    0.936887    0.972723  0.00826528
          31    0.975843    0.972823  0.00799927
          32    0.960507    0.972438  0.00775855
          33    0.949382     0.97174  0.00755484
          34    0.971591    0.971735  0.00733264
