#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.21526     1.21526           0
           2      1.2132     1.21423 0.000726151
           3     1.23273      1.2204  0.00505786
           4     1.23285     1.22351  0.00465376
           5     1.23624     1.22606   0.0043648
           6     1.24083     1.22852  0.00427567
           7     1.23409     1.22931  0.00373822
           8     1.21787     1.22788  0.00353397
           9     1.20242     1.22505  0.00412138
          10     1.20168     1.22272  0.00432141
          11     1.20704     1.22129  0.00415699
          12     1.21023     1.22037  0.00391136
          13     1.21021     1.21959   0.0036877
          14      1.2077     1.21874  0.00352078
          15     1.20439     1.21778  0.00341361
          16     1.20102     1.21673  0.00335718
          17     1.19772     1.21562  0.00334076
          18     1.19686     1.21457  0.00331373
          19     1.19818     1.21371  0.00324969
          20      1.1979     1.21292  0.00318196
          21      1.1949     1.21206    0.003144
          22     1.19219     1.21116  0.00312817
          23      1.1942     1.21042  0.00307785
          24       1.201     1.21003  0.00297451
          25     1.20933        1.21  0.00285566
          26     1.21317     1.21012  0.00274843
          27     1.20411      1.2099  0.00265564
          28     1.18721     1.20909  0.00268155
          29     1.19025     1.20844  0.00266661
          30     1.20303     1.20826  0.00258381
          31     1.21412     1.20845  0.00250735
          32     1.21761     1.20874  0.00244529
          33     1.21333     1.20887  0.00237516
          34     1.20638      1.2088  0.00230644
          35     1.20559     1.20871  0.00224236
          36     1.21363     1.20885  0.00218424
          37     1.21853     1.20911  0.00214082
          38     1.22004      1.2094  0.00210371
          39     1.20713     1.20934  0.00205057
          40     1.20208     1.20916  0.00200732
          41     1.20483     1.20905  0.00196114
          42      1.2133     1.20915  0.00191706
          43     1.21239     1.20923  0.00187395
          44     1.20588     1.20915   0.0018329
          45     1.21737     1.20933  0.00180125
          46     1.22685     1.20971  0.00180188
          47     1.23455     1.21024  0.00183937
          48     1.24335     1.21093  0.00192606
          49     1.24115     1.21155  0.00198302
          50     1.22343     1.21179  0.00195755
          51     1.20606     1.21167  0.00192239
          52     1.20974     1.21164  0.00188578
          53     1.23054     1.21199  0.00188364
          54     1.23854     1.21249  0.00191182
          55     1.24163     1.21302  0.00194911
          56     1.22836     1.21329  0.00193346
          57     1.21149     1.21326  0.00189979
          58     1.22077     1.21339  0.00187145
          59     1.23516     1.21376  0.00187577
          60     1.23653     1.21414  0.00188251
          61     1.23422     1.21447  0.00188023
          62     1.24038     1.21488  0.00189579
          63     1.24165     1.21531   0.0019127
          64     1.23436     1.21561  0.00190583
          65     1.22744     1.21579  0.00188519
          66     1.22288      1.2159  0.00185969
          67     1.22298       1.216  0.00183494
          68       1.227     1.21616  0.00181507
          69     1.23038     1.21637  0.00180042
          70     1.22697     1.21652  0.00178106
          71     1.21616     1.21652  0.00175598
          72     1.20365     1.21634  0.00174066
          73     1.20152     1.21613  0.00172861
          74     1.20786     1.21602  0.00170886
          75     1.21072     1.21595  0.00168754
          76     1.21391     1.21592  0.00166555
          77     1.22076     1.21599   0.0016451
          78     1.21474     1.21597  0.00162409
          79     1.20226      1.2158  0.00161277
          80     1.21218     1.21575  0.00159325
          81     1.21369     1.21573  0.00157378
          82     1.21013     1.21566  0.00155607
          83     1.21292     1.21563  0.00153767
          84       1.223     1.21571  0.00152186
