#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    0.980808    0.980808           0
           2    0.987593      0.9842   0.0023988
           3     1.06643     1.01161   0.0224377
           4     1.14615     1.04524   0.0336394
           5     1.15781     1.06776   0.0336107
           6     1.15241     1.08187   0.0308284
           7     1.15222     1.09192   0.0280148
           8     1.15536     1.09985   0.0256109
           9     1.15145     1.10558   0.0233983
          10     1.13058     1.10808   0.0211915
          11     1.14109     1.11108   0.0194764
          12     1.14091     1.11357   0.0180113
          13     1.16181     1.11728   0.0170038
          14     1.18583     1.12218   0.0164792
          15     1.18321     1.12624    0.015875
          16     1.11889     1.12578   0.0148895
          17     0.98222     1.11734   0.0162328
          18    0.972459     1.10929   0.0172112
          19     1.08863      1.1082   0.0163397
          20     1.11646     1.10862   0.0155279
          21     1.06086     1.10634   0.0149541
          22     1.02607     1.10269   0.0147127
          23     1.08527     1.10194   0.0140925
          24     1.13222      1.1032   0.0135617
          25     1.14193     1.10475   0.0131075
          26     1.10666     1.10482   0.0126035
          27     1.08583     1.10412   0.0121563
          28     1.08749     1.10352   0.0117367
          29     1.05778     1.10195   0.0114375
          30     1.08685     1.10144   0.0110673
          31     1.06219     1.10018   0.0107825
          32     1.03981     1.09829   0.0106093
          33     1.07333     1.09753   0.0103147
          34     1.12275     1.09828   0.0100379
