#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    0.796973    0.796973           0
           2    0.745543    0.771258   0.0181834
           3    0.747533     0.76335   0.0137347
           4    0.805947    0.773999   0.0138263
           5    0.833207    0.785841   0.0153142
           6    0.855343    0.797424   0.0165736
           7    0.856559    0.805872   0.0162166
           8    0.818477    0.807448   0.0142658
           9    0.813794    0.808153   0.0126982
          10    0.835837    0.810921   0.0117262
          11     0.80939    0.810782    0.010661
          12    0.802943    0.810129  0.00979262
          13    0.793224    0.808828  0.00912527
          14    0.771786    0.806183  0.00884876
          15    0.844147    0.808713   0.0086132
          16    0.827055     0.80986   0.0081508
          17    0.757818    0.806799  0.00822617
          18    0.821043     0.80759  0.00780713
          19    0.896796    0.812285  0.00869411
          20    0.863984     0.81487  0.00863514
          21    0.731373    0.810894  0.00909337
          22    0.717249    0.806637  0.00962487
          23      0.8664    0.809236   0.0095507
          24    0.878996    0.812142  0.00958486
          25    0.780884    0.810892  0.00928266
          26    0.792434    0.810182  0.00895274
          27    0.841598    0.811346  0.00869644
          28    0.846411    0.812598  0.00847555
          29    0.778406    0.811419  0.00826489
          30    0.774877    0.810201  0.00807865
          31    0.813179    0.810297  0.00781862
          32    0.798579    0.809931  0.00758286
          33     0.78777    0.809259  0.00738275
          34    0.809506    0.809266  0.00716562
