#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.45291     1.45291           0
           2     1.45163     1.45227 0.000452669
           3      1.4519     1.45215 0.000318586
           4      1.4523     1.45218 0.000241212
           5     1.45194     1.45213 0.000197971
           6      1.4522     1.45214 0.000165262
           7     1.45254      1.4522 0.000150969
           8     1.45275     1.45227 0.000147004
           9     1.45244     1.45229 0.000131875
          10     1.45203     1.45226 0.000121132
          11     1.45206     1.45224 0.000111579
          12     1.45215     1.45224 0.000102566
          13     1.45224     1.45224 9.46779e-05
          14     1.45229     1.45224 8.79958e-05
          15     1.45229     1.45224 8.21923e-05
          16     1.45228     1.45225 7.70916e-05
          17     1.45226     1.45225 7.25595e-05
          18     1.45215     1.45224 6.87503e-05
          19     1.45214     1.45224 6.53326e-05
          20     1.45221     1.45224 6.20762e-05
          21     1.45227     1.45224 5.91441e-05
          22     1.45218     1.45223 5.65145e-05
          23       1.452     1.45222 5.49316e-05
          24     1.45192     1.45221 5.41203e-05
          25     1.45195      1.4522 5.29705e-05
          26     1.45223      1.4522 5.09446e-05
          27     1.45271     1.45222 5.23969e-05
          28     1.45247     1.45223 5.12722e-05
          29     1.45184     1.45222 5.12525e-05
          30      1.4518      1.4522 5.13738e-05
          31     1.45194     1.45219 5.04142e-05
          32     1.45221     1.45219 4.88402e-05
          33     1.45236      1.4522 4.76152e-05
          34     1.45231      1.4522 4.63207e-05
          35     1.45195      1.4522 4.55601e-05
          36     1.45192     1.45219 4.49534e-05
          37       1.452     1.45218 4.40319e-05
          38     1.45231     1.45219 4.30068e-05
          39     1.45252     1.45219 4.27673e-05
          40     1.45213     1.45219 4.17259e-05
          41     1.45195     1.45219 4.11359e-05
          42     1.45192     1.45218 4.06377e-05
          43     1.45237     1.45219 3.99416e-05
          44     1.45205     1.45218 3.91538e-05
          45     1.45169     1.45217 3.97661e-05
          46      1.4519     1.45217 3.93495e-05
          47      1.4518     1.45216 3.92697e-05
          48     1.45192     1.45215 3.87565e-05
          49      1.4524     1.45216 3.82871e-05
          50     1.45267     1.45217 3.88888e-05
          51     1.45238     1.45217 3.83468e-05
          52     1.45146     1.45216 3.99963e-05
          53     1.45164     1.45215 4.04397e-05
          54     1.45186     1.45214 4.00485e-05
          55     1.45214     1.45214 3.93204e-05
          56     1.45268     1.45215 3.97549e-05
          57     1.45219     1.45215 3.90636e-05
          58     1.45151     1.45214 3.99365e-05
          59     1.45182     1.45214 3.96205e-05
          60     1.45218     1.45214 3.89672e-05
          61     1.45201     1.45214 3.83817e-05
          62     1.45189     1.45213 3.79601e-05
          63     1.45224     1.45213 3.73948e-05
          64     1.45234     1.45214 3.69459e-05
          65     1.45228     1.45214 3.64461e-05
          66     1.45219     1.45214 3.59037e-05
          67     1.45205     1.45214 3.53918e-05
          68     1.45198     1.45214  3.4948e-05
          69      1.4521     1.45214 3.44447e-05
          70     1.45234     1.45214  3.4076e-05
          71     1.45251     1.45214 3.40001e-05
          72     1.45238     1.45215  3.3687e-05
          73     1.45198     1.45214 3.33076e-05
          74     1.45193     1.45214 3.29821e-05
          75     1.45207     1.45214 3.25553e-05
          76      1.4519     1.45214 3.22773e-05
          77       1.452     1.45214 3.19084e-05
          78     1.45257     1.45214 3.19784e-05
          79     1.45208     1.45214 3.15826e-05
          80     1.45185     1.45214 3.14006e-05
          81     1.45224     1.45214 3.10399e-05
          82     1.45217     1.45214 3.06645e-05
          83     1.45189     1.45214 3.04382e-05
          84     1.45179     1.45213  3.0353e-05
