#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -3.38861    -3.38861           0
           2    -3.39151    -3.39006  0.00102659
           3    -3.39523    -3.39178  0.00156347
           4    -3.39528    -3.39266  0.00139564
           5    -3.39412    -3.39295  0.00114662
           6    -3.39419    -3.39316 0.000973831
           7    -3.39331    -3.39318 0.000834946
           8     -3.3936    -3.39323 0.000732265
           9    -3.39294     -3.3932 0.000651613
          10    -3.39522     -3.3934 0.000617166
          11    -3.39512    -3.39356 0.000580582
          12    -3.39503    -3.39368 0.000544954
          13    -3.39454    -3.39375 0.000507081
          14    -3.39509    -3.39384  0.00047992
          15    -3.39204    -3.39372 0.000462666
          16    -3.39002    -3.39349 0.000488194
          17    -3.38745    -3.39314   0.0005746
          18      -3.394    -3.39318 0.000544689
          19    -3.39321    -3.39319 0.000516023
          20    -3.39126    -3.39309 0.000499124
          21    -3.38872    -3.39288 0.000516865
          22    -3.39437    -3.39295 0.000497768
          23    -3.39577    -3.39307  0.00049098
          24    -3.39447    -3.39313 0.000473953
          25    -3.39162    -3.39307 0.000458809
          26    -3.39096    -3.39299 0.000448283
          27    -3.39438    -3.39304 0.000434649
          28    -3.39076    -3.39296 0.000426651
          29    -3.39218    -3.39293 0.000412774
          30    -3.39228    -3.39291 0.000399579
          31    -3.38983    -3.39281 0.000398888
          32    -3.39384    -3.39284 0.000387716
          33    -3.39558    -3.39293  0.00038473
          34    -3.39531      -3.393 0.000379775
