#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     -5.4301     -5.4301           0
           2    -5.43279    -5.43144 0.000948191
           3     -5.4347    -5.43253  0.00108797
           4    -5.43483    -5.43311 0.000956571
           5    -5.43317    -5.43312 0.000765349
           6     -5.4361    -5.43362 0.000782697
           7    -5.43254    -5.43346 0.000685742
           8    -5.43364    -5.43348 0.000600368
           9    -5.43623    -5.43379 0.000606206
          10    -5.43408    -5.43382 0.000546278
          11    -5.42936    -5.43341 0.000629065
          12    -5.43165    -5.43327 0.000593631
          13    -5.43068    -5.43307 0.000580452
          14    -5.43541    -5.43323 0.000562523
          15    -5.43462    -5.43333 0.000532606
          16    -5.43048    -5.43315 0.000528245
          17    -5.43301    -5.43314 0.000497234
          18    -5.43945    -5.43349 0.000580104
          19    -5.43619    -5.43363 0.000566761
          20    -5.43351    -5.43363 0.000538458
          21    -5.43002    -5.43346 0.000539461
          22    -5.43597    -5.43357 0.000526929
          23    -5.43782    -5.43375 0.000535423
          24     -5.4317    -5.43367 0.000519926
          25    -5.43135    -5.43358 0.000507308
          26    -5.43483    -5.43362 0.000490071
          27    -5.43411    -5.43364 0.000472256
          28    -5.43009    -5.43352  0.00047209
          29    -5.42915    -5.43337 0.000479165
          30    -5.43245    -5.43333 0.000464166
          31    -5.43178    -5.43328 0.000451911
          32    -5.43271    -5.43327 0.000438144
          33    -5.43703    -5.43338 0.000439446
          34    -5.43911    -5.43355 0.000457668
