#   N_BLOCK:  ACCEPTANCE:
           0    0.509675
           1    0.510501
           2    0.510392
           3    0.510222
           4    0.510302
           5    0.510178
           6    0.510388
           7    0.510495
           8    0.510306
           9    0.510389
          10    0.510416
          11     0.51035
          12    0.510429
          13    0.510408
          14    0.510455
          15    0.510431
          16    0.510315
          17    0.510261
          18    0.510247
          19    0.510167
