#   N_BLOCK:  ACCEPTANCE:
           0    0.251137
           1    0.250854
           2    0.251048
           3    0.250931
           4    0.250824
           5    0.250657
           6    0.250701
           7     0.25066
           8    0.250601
           9    0.250501
          10    0.250538
          11    0.250537
          12      0.2505
          13    0.250486
          14     0.25047
          15    0.250464
          16    0.250502
          17      0.2505
          18     0.25048
          19    0.250473
