#   N_BLOCK:  ACCEPTANCE:
           1     0.95034
           2    0.947731
           3    0.947885
           4    0.947213
           5    0.946103
           6    0.944565
           7    0.944223
           8    0.944717
           9    0.944409
          10    0.944397
          11    0.944591
          12    0.944634
          13     0.94466
          14    0.945002
          15    0.945165
          16    0.945014
          17    0.944917
          18    0.944764
          19    0.944798
          20    0.945083
