#   N_BLOCK:  ACCEPTANCE:
           1     0.96238
           2    0.957432
           3    0.953898
           4    0.950941
           5     0.95034
           6    0.949902
           7    0.948822
           8    0.948099
           9    0.947806
          10    0.947731
          11    0.947969
          12    0.947923
          13    0.947852
          14    0.947799
          15    0.947885
          16    0.948001
          17    0.948045
          18     0.94825
          19    0.947677
          20    0.947213
          21    0.946813
          22    0.946609
          23    0.946563
          24    0.946242
          25    0.946103
          26    0.945708
          27    0.945755
          28    0.945283
          29    0.945068
          30    0.944565
          31     0.94437
          32    0.944258
          33    0.944158
          34    0.943974
          35    0.944223
          36    0.944421
          37     0.94463
          38    0.944738
          39    0.944716
          40    0.944717
          41     0.94469
          42    0.944767
          43    0.944635
          44    0.944429
          45    0.944409
          46    0.944289
          47    0.944264
          48    0.944245
          49    0.944319
          50    0.944397
          51    0.944458
          52    0.944486
          53    0.944532
          54    0.944598
          55    0.944591
          56    0.944569
          57    0.944579
          58    0.944601
          59    0.944596
          60    0.944634
          61     0.94452
          62    0.944452
          63    0.944378
          64    0.944535
          65     0.94466
          66     0.94474
          67    0.944736
          68    0.944816
          69    0.944907
          70    0.945002
          71    0.945054
          72    0.945048
          73    0.944998
          74    0.945065
          75    0.945165
          76    0.945126
          77    0.945122
          78    0.945096
          79    0.945065
          80    0.945014
          81    0.945078
          82    0.945122
          83    0.945121
          84    0.944994
          85    0.944917
          86    0.944854
          87    0.944788
          88    0.944696
          89     0.94473
          90    0.944764
          91    0.944802
          92    0.944793
          93    0.944809
          94    0.944835
          95    0.944798
          96    0.944806
          97    0.944855
          98      0.9449
          99    0.944996
         100    0.945083
