#   N_BLOCK:  ACCEPTANCE:
           1    0.528095
           2    0.522099
           3    0.519619
           4     0.51782
           5    0.516289
           6    0.515069
           7    0.512758
           8    0.512368
           9    0.512163
          10    0.511047
          11    0.510708
          12    0.510851
          13    0.510158
          14    0.510231
          15    0.510322
          16    0.510409
          17    0.510477
          18    0.510568
          19      0.5103
          20    0.509675
          21    0.509664
          22    0.509778
          23    0.509827
          24    0.509859
          25     0.50973
          26    0.509798
          27    0.509897
          28    0.509807
          29    0.510086
          30     0.51026
          31     0.51028
          32     0.51048
          33    0.510673
          34    0.510615
          35    0.510579
          36    0.510407
          37    0.510532
          38    0.510558
          39    0.510552
          40    0.510501
