#   N_BLOCK:  ACCEPTANCE:
           1    0.245864
           2    0.248316
           3    0.250023
           4    0.251041
           5    0.250954
           6    0.250884
           7    0.250494
           8     0.25084
           9    0.250874
          10    0.251082
          11    0.251128
          12    0.250999
          13     0.25078
          14    0.251168
          15    0.251221
          16    0.251086
          17    0.250991
          18    0.251284
          19      0.2512
          20    0.251137
          21    0.251102
          22    0.251063
          23    0.250892
          24    0.250848
          25     0.25067
          26    0.250749
          27    0.250752
          28    0.250851
          29    0.251136
          30     0.25121
          31    0.251098
          32    0.251065
          33    0.251054
          34    0.251138
          35    0.251097
          36    0.251068
          37    0.250964
          38    0.251003
          39    0.250908
          40    0.250854
