Number of points	E_value	E_var
500	-0.445089	0.0174983
900	-0.415432	0.0201469
1300	-0.423107	0.0147667
1700	-0.442475	0.0105902
2100	-0.450042	0.00953631
2500	-0.44416	0.00791492
2900	-0.4556	0.00772795
3300	-0.436364	0.00860628
3700	-0.425687	0.00656455
4100	-0.441017	0.00610519
4500	-0.427919	0.00665603
4900	-0.428008	0.00608468
5300	-0.439266	0.0058117
5700	-0.452132	0.00577727
6100	-0.441606	0.00522744
6500	-0.445359	0.00510251
6900	-0.451579	0.00476101
7300	-0.450006	0.00489825
7700	-0.444867	0.00561012
8100	-0.445793	0.00470681
8500	-0.443648	0.00470353
8900	-0.443854	0.004829
9300	-0.441947	0.00434284
9700	-0.42558	0.00526833
10100	-0.449059	0.00477558
10500	-0.441482	0.00468215
10900	-0.443335	0.00465469
11300	-0.440717	0.00413739
11700	-0.438154	0.00460843
12100	-0.443377	0.00419803
12500	-0.441017	0.00469786
12900	-0.421929	0.0049615
13300	-0.444653	0.00388488
13700	-0.445214	0.00349068
14100	-0.439898	0.00393687
14500	-0.436621	0.00382487
14900	-0.441016	0.00344151
15300	-0.449183	0.00406908
15700	-0.429958	0.00367436
16100	-0.449683	0.00330134
16500	-0.450124	0.00318198
16900	-0.438033	0.00366273
17300	-0.450162	0.00342249
17700	-0.437728	0.00312021
18100	-0.43505	0.00415588
18500	-0.44558	0.00330263
18900	-0.424348	0.00353879
19300	-0.444121	0.00314232
19700	-0.449485	0.0030265
20100	-0.447469	0.00310497
