# Generation	Best_cost	Average_cost_best	Stdev_cost_best
0	14.152	15.2729	0.247133
20	8.36311	8.36311	3.58878e-15
40	7.1521	7.1521	6.28037e-15
60	6.36814	6.37495	0.000982784
80	6.1963	6.20103	0.000682914
100	5.54026	5.56041	0.00290851
120	5.54026	5.54026	1.79439e-15
140	5.34477	5.34477	8.97196e-16
160	5.27482	5.27482	5.38317e-15
180	5.1495	5.1495	5.38317e-15
200	5.10938	5.10938	4.48598e-15
220	5.10938	5.10938	4.48598e-15
240	5.10938	5.10938	4.48598e-15
260	5.10938	5.10938	4.48598e-15
280	5.10938	5.10938	4.48598e-15
300	5.04817	5.04817	2.69159e-15
320	5.03038	5.03038	5.38317e-15
340	4.98426	4.98426	3.58878e-15
360	4.98426	4.98426	3.58878e-15
380	4.98426	4.98426	3.58878e-15
400	4.98426	4.98426	3.58878e-15
420	4.98426	4.98426	3.58878e-15
440	4.98426	4.98426	3.58878e-15
460	4.98426	4.98426	3.58878e-15
480	4.98426	4.98426	3.58878e-15
