# Generation	Best_cost	Average_cost_best	Stdev_cost_best
0	32.8054	34.8606	0.297686
20	17.5665	17.5665	1.07663e-14
40	13.9957	13.9978	0.000298929
60	11.6674	11.692	0.00405519
80	11.5599	11.5599	5.38317e-15
100	11.146	11.146	7.17757e-15
120	10.5709	10.5709	1.25607e-14
140	9.14163	9.14163	3.58878e-15
160	9.12874	9.12874	7.17757e-15
180	9.12874	9.12874	7.17757e-15
200	8.25177	8.25177	5.38317e-15
220	8.25177	8.25177	5.38317e-15
240	6.95161	6.95161	8.97196e-16
260	6.69684	6.69684	2.69159e-15
280	6.69684	6.69684	2.69159e-15
300	6.69684	6.69684	2.69159e-15
320	6.50806	6.50806	4.48598e-15
340	6.50806	6.50806	4.48598e-15
360	6.50806	6.50806	4.48598e-15
380	6.50806	6.50806	4.48598e-15
400	6.24306	6.24306	1.79439e-15
420	6.24306	6.24306	1.79439e-15
440	6.24306	6.24306	1.79439e-15
460	6.24306	6.24306	1.79439e-15
480	6.24306	6.24306	1.79439e-15
500	6.24306	6.24306	1.79439e-15
520	6.24306	6.24306	1.79439e-15
540	6.24306	6.24306	1.79439e-15
560	6.24306	6.24306	1.79439e-15
580	6.24306	6.24306	1.79439e-15
600	6.24306	6.24306	1.79439e-15
620	6.24306	6.24306	1.79439e-15
640	6.24306	6.24306	1.79439e-15
660	6.24306	6.24306	1.79439e-15
680	6.24306	6.24306	1.79439e-15
700	6.24306	6.24306	1.79439e-15
720	6.24306	6.24306	1.79439e-15
740	6.24306	6.24306	1.79439e-15
760	6.24306	6.24306	1.79439e-15
780	6.24306	6.24306	1.79439e-15
800	6.24306	6.24306	1.79439e-15
820	6.24306	6.24306	1.79439e-15
840	6.24306	6.24306	1.79439e-15
860	6.24306	6.24306	1.79439e-15
880	6.24306	6.24306	1.79439e-15
900	6.24306	6.24306	1.79439e-15
920	6.24306	6.24306	1.79439e-15
940	6.24306	6.24306	1.79439e-15
960	6.24306	6.24306	1.79439e-15
980	6.24306	6.24306	1.79439e-15
