# Generation	Best_cost	Average_cost_best	Stdev_cost_best
0	34.3886	34.8633	0.143014
20	16.8944	17.0568	0.307619
40	13.5771	13.5771	5.45448e-15
60	12.0906	12.1069	0.058601
80	8.71464	8.71464	1.81816e-15
100	6.6059	6.92079	0.0703315
120	6.58843	6.58843	1.81816e-15
140	6.58843	6.59794	0.0445818
160	6.55438	6.5997	0.100255
180	6.5018	6.54402	0.133485
200	6.34482	6.34482	9.0908e-16
220	6.31941	6.31941	9.0908e-16
240	6.24306	6.24306	1.81816e-15
260	6.24306	6.31141	0.236374
280	6.24306	6.28726	0.134389
300	6.24306	6.24306	1.81816e-15
320	6.24306	6.34196	0.230479
340	6.24306	6.24306	1.81816e-15
360	6.24306	6.24306	1.81816e-15
380	6.24306	6.24306	1.81816e-15
400	6.24306	6.24306	1.81816e-15
420	6.24306	6.24306	1.81816e-15
440	6.24306	6.24306	1.81816e-15
460	6.24306	6.25608	0.0610722
480	6.24306	6.24306	1.81816e-15
500	6.24306	6.24306	1.81816e-15
520	6.24306	6.24306	1.81816e-15
540	6.24306	6.24306	1.81816e-15
560	6.24306	6.24306	1.81816e-15
580	6.24306	6.24306	1.81816e-15
600	6.24306	6.24306	1.81816e-15
620	6.24306	6.24306	1.81816e-15
640	6.24306	6.38288	0.36695
660	6.24306	6.24306	1.81816e-15
680	6.24306	6.24306	1.81816e-15
700	6.24306	6.24306	1.81816e-15
720	6.24306	6.26567	0.10606
740	6.24306	6.24306	1.81816e-15
760	6.24306	6.24306	1.81816e-15
780	6.24306	6.24306	1.81816e-15
800	6.24306	6.24306	1.81816e-15
820	6.24306	6.24306	1.81816e-15
840	6.24306	6.24306	1.81816e-15
860	6.24306	6.24306	1.81816e-15
880	6.24306	6.37327	0.310864
900	6.24306	6.24306	1.81816e-15
920	6.24306	6.24306	1.81816e-15
940	6.24306	6.24306	1.81816e-15
960	6.24306	6.34422	0.289674
980	6.24306	6.24306	1.81816e-15
